timestamp,frame,object,confidence,cx,cy,speed_kmh,zone_alert
09:56:11,1,person,0.611,328,312,0.0,
09:56:11,2,person,0.682,333,309,3.8,
09:56:11,3,person,0.664,334,309,3.3,
09:56:11,4,person,0.676,332,310,1.7,
09:56:11,5,person,0.69,335,311,2.2,
09:56:11,6,person,0.667,344,305,4.6,
09:56:11,7,person,0.664,339,315,3.0,
09:56:11,8,person,0.653,340,316,3.3,
09:56:11,9,person,0.683,338,311,2.2,
09:56:11,10,person,0.662,340,307,2.3,
09:56:11,11,person,0.662,340,307,1.6,
09:56:11,12,person,0.672,334,308,3.1,
09:56:11,13,person,0.668,326,317,5.0,
09:56:11,14,person,0.666,325,315,4.9,
09:56:11,15,person,0.682,336,310,1.8,
09:56:12,16,person,0.667,323,316,7.1,
09:56:12,17,person,0.671,338,310,1.7,
09:56:12,18,person,0.658,335,309,4.5,
09:56:12,19,person,0.679,329,315,1.5,
09:56:12,20,person,0.663,333,316,2.5,
09:56:12,21,person,0.677,337,312,5.3,
09:56:12,22,person,0.665,335,315,2.1,
09:56:12,23,person,0.657,330,317,3.4,
09:56:12,24,person,0.657,330,317,0.8,
09:56:12,25,person,0.668,334,314,0.8,
09:56:12,26,person,0.704,335,310,1.0,
09:56:12,27,person,0.669,334,310,1.8,
09:56:12,28,person,0.674,345,313,5.6,
09:56:12,29,person,0.699,347,308,6.9,
09:56:12,30,person,0.698,349,308,5.9,
09:56:12,31,person,0.71,349,306,5.3,
09:56:12,32,person,0.719,345,304,4.6,
09:56:12,33,person,0.735,345,303,3.7,
09:56:12,34,person,0.737,345,299,3.4,
09:56:12,35,person,0.746,356,291,6.7,YES
09:56:13,36,person,0.761,349,288,6.5,
09:56:13,37,person,0.757,355,285,7.8,YES
09:56:13,38,person,0.766,343,276,9.8,
09:56:13,39,person,0.775,345,276,8.3,
09:56:13,40,person,0.762,339,274,8.9,
09:56:13,41,person,0.748,337,270,7.5,
09:56:13,42,person,0.763,334,270,9.0,
09:56:13,43,person,0.77,322,269,7.7,
09:56:13,44,person,0.782,321,268,8.8,
09:56:13,45,person,0.774,321,268,6.5,
09:56:13,46,person,0.76,318,269,6.9,
09:56:13,47,person,0.765,315,269,6.9,
09:56:13,48,person,0.764,315,268,2.5,
09:56:13,49,person,0.75,298,269,8.3,
09:56:13,49,book,0.59,399,347,0.0,
09:56:13,49,book,0.518,362,343,0.0,
09:56:13,49,book,0.501,428,350,0.0,
09:56:13,50,person,0.745,297,270,8.7,
09:56:13,50,book,0.546,363,344,2.5,
09:56:13,50,book,0.537,399,346,1.8,
09:56:13,51,person,0.75,296,273,8.3,
09:56:13,51,book,0.51,397,346,2.2,
09:56:13,51,book,0.508,365,343,2.9,
09:56:13,52,person,0.761,298,273,6.5,
09:56:13,52,book,0.504,399,347,0.0,
09:56:13,53,person,0.773,293,274,8.5,
09:56:13,54,person,0.761,291,274,3.2,
09:56:13,55,person,0.743,292,274,2.4,
09:56:14,56,person,0.757,294,274,0.8,
09:56:14,57,person,0.767,294,275,1.6,
09:56:14,58,person,0.749,297,273,1.5,
09:56:14,58,book,0.577,398,346,0.0,
09:56:14,58,book,0.542,363,342,0.0,
09:56:14,59,person,0.73,306,274,5.3,
09:56:14,59,book,0.572,399,346,1.8,
09:56:14,59,book,0.521,363,342,0.0,
09:56:14,60,person,0.75,310,274,6.3,
09:56:14,60,book,0.555,398,346,0.0,
09:56:14,60,book,0.554,368,346,5.7,
09:56:14,61,person,0.757,319,269,9.3,
09:56:14,62,person,0.77,326,273,11.6,
09:56:14,63,person,0.777,330,270,11.9,
09:56:14,64,person,0.786,331,272,9.1,
09:56:14,65,person,0.776,341,277,11.1,
09:56:14,66,person,0.778,343,279,9.3,
09:56:14,67,person,0.764,353,277,9.8,YES
09:56:14,68,cat,0.566,376,286,17.5,
09:56:14,69,person,0.732,378,286,17.6,YES
09:56:14,70,person,0.724,380,287,14.6,YES
09:56:14,71,person,0.695,378,287,13.0,YES
09:56:14,72,person,0.702,382,287,11.2,YES
09:56:14,73,person,0.637,390,282,5.3,YES
09:56:14,74,cat,0.653,409,288,11.3,
09:56:14,75,cat,0.632,414,289,12.4,
09:56:15,76,cat,0.649,419,288,15.0,
09:56:15,77,cat,0.708,425,292,15.8,
09:56:15,78,cat,0.72,428,294,14.5,
09:56:15,79,cat,0.643,424,297,6.3,
09:56:15,80,person,0.691,441,291,9.8,YES
09:56:15,81,person,0.707,440,291,7.7,YES
09:56:15,82,cat,0.671,434,297,3.7,
09:56:15,83,person,0.652,441,290,4.9,YES
09:56:15,84,person,0.694,440,293,6.0,YES
09:56:15,85,person,0.677,439,292,0.8,YES
09:56:15,86,person,0.632,439,292,0.5,YES
09:56:15,87,person,0.673,438,296,1.5,YES
09:56:15,88,person,0.684,439,296,2.4,YES
09:56:15,89,person,0.691,436,295,1.7,YES
09:56:15,90,person,0.682,437,293,0.8,YES
09:56:15,91,cat,0.671,432,296,2.9,
09:56:15,92,person,0.642,439,292,1.5,YES
09:56:15,93,cat,0.617,423,298,6.0,
09:56:15,94,person,0.601,437,293,0.8,YES
09:56:15,95,person,0.555,372,284,24.5,YES
09:56:15,96,person,0.578,420,298,4.6,YES
09:56:16,97,person,0.526,363,286,27.7,YES
09:56:16,98,person,0.635,413,299,3.6,YES
09:56:16,99,person,0.669,414,298,8.5,YES
09:56:16,100,person,0.612,410,297,14.5,YES
09:56:16,101,person,0.588,381,286,14.8,YES
09:56:16,102,person,0.615,383,288,7.3,YES
09:56:16,103,person,0.602,410,296,1.5,YES
09:56:16,104,person,0.635,407,296,2.7,YES
09:56:16,105,person,0.649,405,297,1.8,YES
09:56:16,106,person,0.644,403,298,9.2,YES
09:56:16,107,cat,0.634,402,298,7.8,
09:56:16,108,person,0.649,377,291,12.1,YES
09:56:16,109,person,0.668,399,300,3.2,YES
09:56:16,110,person,0.67,401,300,1.8,YES
09:56:16,111,person,0.68,398,300,1.9,YES
09:56:16,112,person,0.687,395,301,2.7,YES
09:56:16,113,person,0.678,397,301,8.0,YES
09:56:16,114,person,0.687,398,301,0.5,YES
09:56:16,115,person,0.675,399,301,0.8,YES
09:56:16,116,teddy bear,0.642,405,301,2.6,
09:56:17,117,teddy bear,0.599,401,301,2.2,
09:56:17,118,teddy bear,0.682,404,304,2.7,
09:56:17,119,teddy bear,0.702,407,305,3.6,
09:56:17,120,teddy bear,0.633,407,306,3.4,
09:56:17,121,teddy bear,0.659,408,306,2.1,
09:56:17,122,teddy bear,0.688,406,307,2.8,
09:56:17,123,person,0.573,402,307,1.3,YES
09:56:17,124,person,0.579,399,304,2.9,YES
09:56:17,125,person,0.597,399,304,3.0,YES
09:56:17,126,person,0.663,396,304,4.4,YES
09:56:17,127,person,0.671,392,304,5.1,YES
09:56:17,128,person,0.659,389,303,4.9,YES
09:56:17,129,person,0.654,392,304,2.5,YES
09:56:17,130,person,0.663,389,304,3.6,YES
09:56:17,131,person,0.582,368,297,10.5,YES
09:56:17,132,person,0.657,394,303,0.8,YES
09:56:17,133,person,0.548,369,298,7.4,YES
09:56:17,134,person,0.654,393,306,0.8,YES
09:56:17,135,person,0.571,399,304,3.6,YES
09:56:17,136,person,0.541,398,307,11.4,YES
09:56:18,137,person,0.65,396,311,3.0,YES
09:56:18,137,person,0.552,78,316,0.0,
09:56:18,138,person,0.615,396,313,11.1,YES
09:56:18,138,person,0.601,114,311,65.0,
09:56:18,139,person,0.609,400,310,3.0,YES
09:56:18,140,person,0.609,400,310,2.2,YES
09:56:18,141,person,0.546,323,297,28.0,
09:56:18,142,person,0.619,323,297,27.4,
09:56:18,143,person,0.641,325,306,26.5,
09:56:18,144,person,0.591,256,317,52.2,
09:56:18,145,person,0.61,264,317,49.3,
09:56:18,146,person,0.59,322,308,3.8,
09:56:18,147,person,0.601,310,309,6.1,
09:56:18,148,person,0.603,320,302,2.2,
09:56:18,149,person,0.647,324,307,23.6,
09:56:18,150,person,0.625,309,305,16.0,
09:56:18,151,person,0.575,311,297,5.6,
09:56:18,152,person,0.644,317,304,3.1,
09:56:18,153,person,0.639,334,305,5.2,
09:56:18,154,person,0.6,221,314,0.0,
09:56:18,155,person,0.592,299,310,140.2,
09:56:18,156,teddy bear,0.593,466,293,0.0,
09:56:18,156,person,0.548,226,319,6.4,
09:56:19,157,person,0.586,279,315,34.8,
09:56:19,158,teddy bear,0.546,433,313,0.0,
09:56:19,159,teddy bear,0.596,401,313,57.7,
09:56:19,160,person,0.548,296,323,0.0,
09:56:19,161,person,0.62,261,334,66.4,
09:56:19,161,person,0.53,486,312,0.0,YES
09:56:19,162,person,0.589,284,324,10.8,
09:56:19,163,person,0.582,307,319,7.0,
09:56:19,164,person,0.55,327,294,19.0,
09:56:19,165,person,0.567,307,299,9.5,
09:56:19,166,person,0.587,308,320,17.6,
09:56:19,167,person,0.584,320,302,15.3,
09:56:19,168,person,0.614,312,304,5.8,
09:56:19,169,person,0.593,310,303,7.0,
09:56:19,170,person,0.551,310,319,7.4,
09:56:19,171,backpack,0.55,508,326,0.0,
09:56:19,172,person,0.589,315,317,0.0,
09:56:19,173,person,0.515,341,306,50.7,
09:56:19,174,person,0.548,305,322,10.2,
09:56:19,175,person,0.577,293,326,14.4,
09:56:19,176,person,0.578,281,328,16.2,
09:56:20,177,person,0.611,281,328,12.9,
09:56:20,178,person,0.594,253,330,33.2,
09:56:20,179,person,0.6,280,324,9.1,
09:56:20,180,person,0.632,284,322,3.6,
09:56:20,181,person,0.633,230,321,18.6,
09:56:20,182,person,0.597,229,329,19.0,
09:56:20,183,person,0.574,213,327,14.3,
09:56:20,184,person,0.555,243,325,13.5,
09:56:20,185,person,0.596,240,323,16.0,
09:56:20,186,person,0.601,326,308,0.0,
09:56:20,187,person,0.549,328,319,23.8,
09:56:20,188,person,0.556,258,324,68.1,
09:56:20,189,person,0.562,253,326,47.5,
09:56:20,190,person,0.582,198,324,60.3,
09:56:20,191,person,0.592,185,333,53.1,
09:56:20,192,person,0.556,321,307,0.0,
09:56:20,193,person,0.56,222,323,0.0,
09:56:20,193,backpack,0.516,469,313,0.0,
09:56:20,194,person,0.621,196,326,47.6,
09:56:20,195,person,0.605,221,325,2.0,
09:56:20,195,person,0.574,485,314,0.0,YES
09:56:20,196,person,0.55,205,327,10.6,
09:56:21,197,person,0.614,196,328,12.0,
09:56:21,198,person,0.543,217,326,2.1,
09:56:21,199,person,0.533,229,327,12.0,
09:56:21,199,teddy bear,0.506,480,321,0.0,
09:56:21,200,person,0.504,236,328,5.6,
09:56:21,201,person,0.51,199,325,2.3,
09:56:21,202,person,0.517,198,327,0.8,
09:56:21,203,backpack,0.53,465,308,0.0,
09:56:21,206,person,0.51,236,328,0.0,
09:56:21,208,person,0.587,192,334,0.0,
09:56:21,209,person,0.549,319,302,0.0,
09:56:21,210,person,0.519,248,325,134.7,
09:56:21,211,person,0.545,246,323,68.3,
09:56:21,212,person,0.573,319,304,1.2,
09:56:21,213,person,0.619,316,302,1.4,
09:56:21,214,person,0.581,322,290,4.5,
09:56:21,215,person,0.626,293,290,20.6,
09:56:21,216,person,0.643,299,292,22.2,
09:56:22,217,person,0.596,304,290,7.4,
09:56:22,218,person,0.693,286,291,11.4,
09:56:22,219,person,0.654,292,287,10.7,
09:56:22,220,person,0.703,316,284,8.5,
09:56:22,221,person,0.674,314,282,6.5,
09:56:22,222,person,0.718,314,286,3.9,
09:56:22,223,person,0.662,318,281,12.0,
09:56:22,224,person,0.705,315,279,8.8,
09:56:22,225,person,0.721,290,281,9.4,
09:56:22,226,person,0.714,300,277,5.3,
09:56:22,227,person,0.683,297,274,7.5,
09:56:22,228,person,0.74,300,271,7.4,
09:56:22,229,person,0.653,308,270,4.1,
09:56:22,230,person,0.653,308,270,7.6,
09:56:22,231,person,0.721,313,273,4.9,
09:56:22,232,traffic light,0.605,325,265,10.6,
09:56:22,233,person,0.63,312,267,4.5,
09:56:22,234,traffic light,0.619,292,185,0.0,
09:56:22,235,person,0.612,328,270,0.0,
09:56:22,236,person,0.623,297,268,57.3,
09:56:23,237,person,0.615,311,269,15.5,
09:56:23,238,traffic light,0.639,327,267,1.9,
09:56:23,239,person,0.69,322,273,3.0,
09:56:23,240,person,0.743,326,277,2.6,
09:56:23,241,person,0.727,329,275,11.8,
09:56:23,242,person,0.726,343,278,11.4,
09:56:23,243,person,0.726,343,278,6.6,
09:56:23,244,person,0.728,339,277,6.0,
09:56:23,245,person,0.728,339,277,4.5,
09:56:23,246,person,0.727,325,273,1.5,
09:56:23,247,person,0.728,326,274,6.1,
09:56:23,248,person,0.728,326,274,6.1,
09:56:23,249,person,0.73,331,269,4.0,
09:56:23,250,person,0.73,331,269,4.0,
09:56:23,251,person,0.721,329,268,2.3,
09:56:23,252,person,0.727,325,273,0.5,
09:56:23,253,person,0.737,334,266,4.1,
09:56:23,254,person,0.737,334,266,1.5,
09:56:23,255,person,0.729,332,262,2.5,
09:56:23,256,person,0.729,332,262,2.4,
09:56:24,257,person,0.722,329,266,2.9,
09:56:24,258,person,0.701,320,265,5.1,
09:56:24,259,person,0.726,320,263,5.2,
09:56:24,260,person,0.726,320,263,4.4,
09:56:24,261,person,0.684,321,273,5.6,
09:56:24,262,person,0.571,229,150,0.0,
09:56:24,263,teddy bear,0.552,321,286,0.0,
09:56:24,264,person,0.548,321,280,10.8,
09:56:24,264,person,0.531,220,154,0.0,
09:56:24,265,person,0.655,319,271,13.7,
09:56:24,265,person,0.605,216,152,8.1,
09:56:24,266,person,0.654,319,279,4.4,
09:56:24,266,person,0.567,214,153,5.5,
09:56:24,267,person,0.66,323,273,6.0,
09:56:24,268,person,0.672,320,267,6.9,
09:56:24,269,person,0.612,319,263,6.1,
09:56:24,269,book,0.556,407,371,0.0,
09:56:24,270,person,0.652,322,255,5.9,
09:56:24,271,person,0.684,317,253,9.4,
09:56:24,272,person,0.606,310,252,8.8,
09:56:24,273,person,0.583,313,249,7.0,
09:56:24,274,person,0.71,318,244,6.5,
09:56:24,275,person,0.714,319,246,3.3,
09:56:24,276,person,0.714,319,246,2.5,
09:56:25,277,person,0.734,319,243,4.4,
09:56:25,278,person,0.741,320,249,2.4,
09:56:25,279,person,0.741,320,249,1.9,
09:56:25,280,person,0.743,320,242,1.5,
09:56:25,281,person,0.745,320,246,0.4,
09:56:25,282,person,0.728,319,241,0.7,
09:56:25,283,person,0.728,319,241,2.7,
09:56:25,284,person,0.68,321,251,0.8,
09:56:25,285,person,0.68,321,251,3.1,
09:56:25,286,person,0.739,326,274,9.8,
09:56:25,287,person,0.741,327,279,13.7,
09:56:25,288,person,0.741,327,279,13.7,
09:56:25,289,person,0.753,329,279,10.2,
09:56:25,290,person,0.747,328,277,9.4,
09:56:25,291,person,0.747,328,277,1.3,
09:56:25,292,person,0.744,327,274,1.8,
09:56:25,293,person,0.759,328,278,0.5,
09:56:25,294,person,0.759,328,278,0.5,
09:56:25,295,person,0.756,328,278,0.4,
09:56:26,296,person,0.756,328,278,0.4,
09:56:26,297,person,0.742,328,275,0.5,
09:56:26,298,person,0.726,328,275,1.1,
09:56:26,299,person,0.74,325,274,1.8,
09:56:26,300,person,0.74,325,274,1.8,
09:56:26,301,person,0.756,321,267,4.7,
09:56:26,302,person,0.754,321,267,3.8,
09:56:26,303,person,0.754,321,267,3.8,
09:56:26,304,person,0.742,321,269,2.4,
09:56:26,305,person,0.722,321,263,4.3,
09:56:26,306,person,0.722,321,263,1.5,
09:56:26,307,person,0.722,321,263,1.5,
09:56:26,308,person,0.721,323,263,1.7,
09:56:26,309,person,0.721,323,263,2.3,
09:56:26,310,person,0.729,326,269,2.8,
09:56:26,311,person,0.729,324,270,2.8,
09:56:26,312,person,0.729,324,270,2.7,
09:56:26,313,person,0.724,324,270,2.6,
09:56:26,314,person,0.743,324,267,1.5,
09:56:26,315,person,0.743,324,267,1.0,
09:56:27,316,person,0.733,321,261,3.4,
09:56:27,317,person,0.728,323,267,1.1,
09:56:27,318,person,0.728,323,267,1.1,
09:56:27,319,person,0.712,321,260,2.8,
09:56:27,320,person,0.712,321,260,2.7,
09:56:27,321,person,0.686,322,256,1.8,
09:56:27,322,person,0.715,321,256,4.0,
09:56:27,323,person,0.711,321,256,4.0,
09:56:27,324,person,0.711,321,256,1.4,
09:56:27,325,person,0.72,321,256,1.4,
09:56:27,326,person,0.731,321,260,1.5,
09:56:27,327,person,0.731,321,260,1.5,
09:56:27,328,person,0.683,329,253,3.2,
09:56:27,329,person,0.708,323,257,0.8,
09:56:27,330,person,0.716,322,257,0.5,
09:56:27,331,person,0.716,322,257,1.1,
09:56:27,332,person,0.684,324,255,2.1,
09:56:27,333,person,0.684,324,255,1.9,
09:56:27,334,person,0.72,323,257,0.0,
09:56:27,335,person,0.703,323,256,0.5,
09:56:28,336,person,0.703,323,256,0.5,
09:56:28,337,person,0.715,322,257,1.0,
09:56:28,338,person,0.704,323,256,0.5,
09:56:28,339,person,0.704,323,256,0.4,
09:56:28,340,person,0.713,321,257,0.8,
09:56:28,341,person,0.727,321,255,0.8,
09:56:28,342,person,0.727,321,255,0.8,
09:56:28,343,person,0.756,321,267,4.0,
09:56:28,344,person,0.756,321,267,4.0,
09:56:28,345,person,0.746,320,276,6.9,
09:56:28,346,person,0.786,335,280,10.4,
09:56:28,347,person,0.795,340,282,12.0,
09:56:28,348,person,0.795,340,282,8.5,
09:56:28,349,person,0.789,338,281,7.7,
09:56:28,350,person,0.78,337,279,6.0,
09:56:28,351,person,0.784,335,282,0.7,
09:56:28,352,person,0.777,337,282,1.0,
09:56:28,353,person,0.785,339,284,0.8,
09:56:28,354,person,0.776,341,283,1.3,
09:56:28,355,person,0.779,340,286,2.8,
09:56:29,356,person,0.789,342,287,3.1,
09:56:29,357,person,0.778,336,283,0.5,
09:56:29,358,person,0.783,338,285,0.5,
09:56:29,359,person,0.779,338,285,1.3,
09:56:29,360,person,0.786,337,286,1.1,
09:56:29,361,person,0.778,345,285,1.3,
09:56:29,362,person,0.78,342,283,2.2,
09:56:29,363,person,0.788,342,284,1.5,
09:56:29,364,person,0.775,345,284,2.6,
09:56:29,365,person,0.777,342,283,2.1,
09:56:29,366,person,0.78,347,283,1.0,
09:56:29,367,person,0.758,344,283,0.7,
09:56:29,368,person,0.773,341,284,0.4,
09:56:29,369,person,0.768,345,285,0.4,
09:56:29,370,person,0.783,346,287,2.1,
09:56:29,371,person,0.775,347,287,1.5,
09:56:29,372,person,0.762,347,288,2.2,
09:56:29,373,person,0.783,345,287,1.9,
09:56:29,374,person,0.78,346,285,0.4,
09:56:29,375,person,0.786,347,287,0.4,
09:56:29,376,person,0.784,345,285,1.0,
09:56:30,377,person,0.79,345,287,0.8,
09:56:30,378,person,0.781,345,288,0.4,
09:56:30,379,person,0.768,345,288,1.2,
09:56:30,380,person,0.783,346,287,0.4,
09:56:30,381,person,0.759,345,285,0.0,
09:56:30,382,person,0.782,346,286,0.5,
09:56:30,383,person,0.773,346,287,0.5,
09:56:30,384,person,0.735,347,287,0.8,
09:56:30,385,person,0.773,344,287,0.7,
09:56:30,386,person,0.754,344,284,0.5,
09:56:30,387,person,0.74,350,287,1.5,
09:56:30,388,person,0.761,346,286,0.4,
09:56:30,389,person,0.773,341,287,2.1,
09:56:30,390,person,0.775,342,285,1.0,
09:56:30,391,person,0.765,344,283,0.4,
09:56:30,392,person,0.757,345,286,1.8,
09:56:30,393,person,0.778,342,285,1.5,
09:56:30,394,person,0.77,345,286,1.5,
09:56:30,395,person,0.762,341,286,0.5,
09:56:30,396,person,0.756,343,284,0.5,
09:56:31,397,person,0.779,344,286,0.4,
09:56:31,398,person,0.791,343,285,0.4,
09:56:31,399,person,0.749,344,285,0.5,
09:56:31,400,person,0.754,344,286,1.1,
09:56:31,401,person,0.78,343,284,0.0,
09:56:31,402,person,0.76,346,283,1.3,
09:56:31,403,person,0.772,345,284,0.8,
09:56:31,404,person,0.776,341,283,1.3,
09:56:31,405,person,0.762,345,285,0.5,
09:56:31,406,person,0.776,346,287,1.5,
09:56:31,407,person,0.761,346,286,1.1,
09:56:31,408,person,0.774,347,287,1.3,
09:56:31,409,person,0.75,341,285,0.7,
09:56:31,410,person,0.748,346,285,0.4,
09:56:31,411,person,0.768,344,283,1.6,
09:56:31,412,person,0.762,343,286,1.1,
09:56:31,413,person,0.751,345,287,0.7,
09:56:31,414,person,0.757,342,284,0.5,
09:56:31,415,person,0.773,345,286,0.5,
09:56:31,416,person,0.746,343,287,1.5,
09:56:32,417,person,0.743,346,286,1.1,
09:56:32,418,person,0.796,343,286,0.8,
09:56:32,419,person,0.787,343,286,0.8,
09:56:32,420,person,0.787,343,286,0.7,
09:56:32,421,person,0.784,341,284,1.3,
09:56:32,422,person,0.759,344,287,0.8,
09:56:32,423,person,0.781,343,285,0.4,
09:56:32,424,person,0.786,342,286,0.3,
09:56:32,425,person,0.78,345,287,0.8,
09:56:32,426,person,0.79,346,286,1.9,
09:56:32,427,person,0.774,346,287,0.7,
09:56:32,428,person,0.777,345,288,1.2,
09:56:32,429,person,0.777,341,287,0.5,
09:56:32,430,person,0.787,342,284,1.5,
09:56:32,431,person,0.775,345,287,0.5,
09:56:32,432,person,0.795,345,288,0.5,
09:56:32,433,person,0.795,345,288,0.0,
09:56:32,434,person,0.767,343,288,0.8,
09:56:32,435,person,0.761,347,287,2.1,
09:56:33,436,person,0.762,344,288,0.5,
09:56:33,437,person,0.781,342,289,1.1,
09:56:33,438,person,0.784,341,288,1.4,
09:56:33,439,person,0.774,337,292,2.6,
09:56:33,440,person,0.786,332,293,5.7,
09:56:33,441,person,0.775,331,294,5.1,
09:56:33,442,person,0.771,330,295,4.8,
09:56:33,443,person,0.763,330,300,5.8,
